09.04.2024 - 08:36:17 | __chat_bot__ |  1932   - DEBUG    - main.py   :226 - Startup...
09.04.2024 - 08:36:30 | __chat_bot__ |  1932   - DEBUG    - main.py   :118 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt
09.04.2024 - 08:36:35 | __chat_bot__ |  1932   - DEBUG    - main.py   :118 - coordinates changed >>> x=2226, y=60
09.04.2024 - 08:36:35 | __chat_bot__ |  1932   - DEBUG    - main.py   :237 - Startup Chat-Bot >>> {'x': 2226, 'y': 60, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt'}
09.04.2024 - 08:36:45 | __chat_bot__ |  1524   - DEBUG    - main.py   :118 - Sending message in 5 sec. >>> test 5
09.04.2024 - 08:36:50 | __chat_bot__ |  1524   - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:36:51 | __chat_bot__ |  1524   - DEBUG    - main.py   :118 - Sending message in 1 sec. >>> test 5
09.04.2024 - 08:36:52 | __chat_bot__ |  1524   - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:36:52 | __chat_bot__ |  1524   - DEBUG    - main.py   :118 - Sending message in 7 sec. >>> test 5
09.04.2024 - 08:36:59 | __chat_bot__ |  1524   - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:36:59 | __chat_bot__ |  1524   - DEBUG    - main.py   :118 - Sending message in 3 sec. >>> test 5
09.04.2024 - 08:37:02 | __chat_bot__ |  1524   - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:37:03 | __chat_bot__ |  1524   - DEBUG    - main.py   :118 - Sending message in 2 sec. >>> test 5
09.04.2024 - 08:37:05 | __chat_bot__ |  1524   - DEBUG    - main.py   :118 - Message sent >>> test 5
09.04.2024 - 08:37:05 | __chat_bot__ |  1524   - DEBUG    - main.py   :118 - Sending message in 4 sec. >>> test 5
