27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - DEBUG    - rename_class.py:36 - active season path >>> C:/Users/hildwein/Documents/Dennis/rename_tool/test_data_02/Chernobyl/season01disc1
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - DEBUG    - rename_class.py:41 - valid Season found! >>> 1
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - DEBUG    - rename_class.py:46 - Created episode counter for season >>> 1 >>> {1: 0}
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - INFO     - rename_class.py:55 - Episode-File: item1.txt
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - INFO     - rename_class.py:55 - Episode-File: item2.txt
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - INFO     - rename_class.py:55 - Episode-File: item3.txt
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - INFO     - rename_class.py:55 - Episode-File: item4.txt
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - DEBUG    - rename_class.py:36 - active season path >>> C:/Users/hildwein/Documents/Dennis/rename_tool/test_data_02/Chernobyl/season01disc2
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - DEBUG    - rename_class.py:41 - valid Season found! >>> 1
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - INFO     - rename_class.py:55 - Episode-File: item1.txt
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - INFO     - rename_class.py:55 - Episode-File: item2.txt
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - DEBUG    - rename_class.py:36 - active season path >>> C:/Users/hildwein/Documents/Dennis/rename_tool/test_data_02/Chernobyl/season02disc1
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - DEBUG    - rename_class.py:41 - valid Season found! >>> 2
27.03.2024 - 08:18:46 | rename_tool.tool.rename_class |  40468  - DEBUG    - rename_class.py:46 - Created episode counter for season >>> 2 >>> {2: 0}
